,Start Date,End Date,Duration(Days),State
948,/07/2009,/09/2009,Diffing the dates,ASSAM
949,2009-09-25,2009-10-12,17,KARNATAKA
950,2009-10-09,2009-10-09,0,MEGHALAYA
951,2009-11-03,2009-11-08,5,TAMIL NADU
952,2009-08-26,2009-08-28,2,BIHAR
953,2010-07-05,2010-07-15,10,KERALA
954,2010-05-18,2010-05-24,6,ANDHRA PRADESH
955,2010-07-13,2010-07-13,0,
956,2010-08-06,2010-08-08,2,
957,2010-09-05,2010-09-17,12,ASSAM
958,2010-09-18,2010-09-30,12,BIHAR
959,2010-09-09,2010-09-09,0,PUNJAB
960,2010-11-15,2010-12-07,22,TAMIL NADU
961,2011-08-10,2011-09-13,34,WEST BENGAL
962,2011-09-23,2011-10-23,30,ODISHA
963,2011-08-15,2011-09-08,24,ASSAM
964,2011-08-15,2011-10-02,48,ASSAM
965,2011-07-23,2011-08-09,17,RAJASTHAN
966,2011-09-05,2011-09-15,10,
967,2011-06-15,2011-07-16,31,UTTAR PRADESH
968,2012-06-26,2012-07-13,17,ARUNACHAL PRADESH
969,2012-08-21,2012-08-23,2,ARUNACHAL PRADESH
970,2012-08-04,2012-08-09,5,HIMACHAL PRADESH
971,2012-09-16,2012-09-18,2,UTTARAKHAND
972,2012-09-19,2012-09-23,4,ARUNACHAL PRADESH
973,2012-08-21,2012-08-23,2,
974,2013-06-12,2013-06-27,15,BIHAR
975,2013-07-09,2013-07-10,1,UTTAR PRADESH
976,2013-06-23,2013-07-15,22,ASSAM
977,2013-08-22,2013-08-27,5,ASSAM
978,2013-10-21,2013-10-26,5,WEST BENGAL
979,2014-06-26,2014-06-28,2,ASSAM
980,2014-07-16,2014-07-22,6,HIMACHAL PRADESH
981,2014-08-03,2014-08-04,1,
982,/09/2014,/09/2014,Diffing the dates,
983,2014-09-24,2014-10-11,17,ASSAM
984,2014-08-16,2014-09-01,16,ASSAM
985,2014-08-09,2014-08-16,7,ODISHA
986,2015-03-20,2015-03-31,11,HIMACHAL PRADESH
987,2015-05-17,2015-05-21,4,TAMIL NADU
988,2015-06-19,2015-06-20,1,MAHARASHTRA
989,2015-06-23,2015-06-30,7,WEST BENGAL
990,2015-07-15,2015-08-19,35,ASSAM
991,2015-07-07,2015-07-13,6,ARUNACHAL PRADESH
992,2015-08-13,2015-08-19,6,ASSAM
993,2015-08-28,2015-08-30,2,ASSAM
994,2015-07-14,2015-07-16,2,ARUNACHAL PRADESH
995,2015-11-08,2015-12-04,26,TAMIL NADU
996,2016-04-22,2016-04-25,3,ARUNACHAL PRADESH
997,2016-06-25,2016-07-01,6,ARUNACHAL PRADESH
998,2016-07-28,2016-07-30,2,ASSAM
999,2016-07-15,2016-09-12,59,UTTAR PRADESH
1000,2016-07-09,2016-08-22,44,MADHYA PRADESH
1001,2016-08-01,2016-08-03,2,MAHARASHTRA
1002,2016-09-21,2016-09-29,8,TELANGANA
1003,2016-07-17,2016-07-19,2,ASSAM
1004,2017-06-04,2017-06-06,2,ASSAM
1005,2017-06-01,31/06/2017,Diffing the dates,GUJARAT
1006,2017-06-25,2017-07-24,29,ASSAM
1007,/07/2017,/07/2017,Diffing the dates,
1008,/06/2017,/08/2017,Diffing the dates,RAJASTHAN
1009,2017-08-11,2017-08-31,20,BIHAR
1010,2017-08-29,2017-08-29,0,MAHARASHTRA
1011,2017-10-30,2017-11-08,9,TAMIL NADU
1012,2017-08-16,2017-08-23,7,UTTAR PRADESH
1013,2018-06-22,2018-07-03,11,ASSAM
1014,2018-05-17,2018-05-20,3,TRIPURA
1015,2018-05-29,2018-05-31,2,
1016,2018-07-26,2018-07-28,2,RAJASTHAN
1017,2018-07-20,2018-07-23,3,ODISHA
1018,2018-08-07,2018-08-20,13,ASSAM
1019,2018-08-02,2018-08-06,4,ASSAM
1020,2018-09-01,2018-10-06,35,UTTAR PRADESH
1021,2018-09-23,2018-09-24,1,PUNJAB
1022,2019-06-28,2019-07-04,6,MAHARASHTRA
1023,2019-07-14,2019-09-30,78,ASSAM
1024,2019-08-12,2019-08-15,3,KERALA
1025,2019-10-19,2019-10-23,4,KARNATAKA
1026,2019-11-29,2019-12-04,5,TAMIL NADU
